"type","name","time_units","begin_time","frequency","count","units"
"signal_2d","CdP (Centre des Pressions)","s",0.000,60,1784,"mm"

"time","x","y"
0.000,-22.59190876,-78.80987111
0.017,-23.16108279,-78.58039356
0.033,-23.63015185,-78.61227578
0.050,-23.98255707,-78.59500102
0.067,-24.42510171,-78.51959927
0.083,-24.84236536,-78.51044982
0.100,-25.44226773,-78.39547677
0.117,-25.37136076,-78.00010719
0.133,-26.20959421,-77.90294657
0.150,-26.4373779,-77.41845238
0.167,-26.8375,-77.25050244
0.183,-27.36425314,-76.62368768
0.200,-27.59710601,-76.59169374
0.217,-28.03030334,-76.16457655
0.233,-28.81361971,-75.58485342
0.250,-29.32432818,-75.24323086
0.267,-29.76253053,-74.88319597
0.283,-30.45487805,-74.31472561
0.300,-30.89585366,-73.8117378
0.317,-31.45907562,-73.31583265
0.333,-32.28324142,-72.70220588
0.350,-33.06356036,-71.86468189
0.367,-33.32082313,-71.15576805
0.383,-34.06523152,-70.44370431
0.400,-34.70886752,-69.68160867
0.417,-35.85842148,-68.98953417
0.433,-36.84564262,-68.43207499
0.450,-37.5817623,-67.96672131
0.467,-38.47066953,-67.41130221
0.483,-38.75006674,-67.06039528
0.500,-39.7265625,-66.53502262
0.517,-40.5296651,-65.8817544
0.533,-40.93355533,-65.45895492
0.550,-41.35585443,-64.96750204
0.567,-41.58783756,-64.45022504
0.583,-42.32311224,-63.8599898
0.600,-42.450978,-63.24822738
0.617,-42.45443154,-62.94776895
0.633,-42.85465187,-62.4824206
0.650,-42.83273322,-62.22397709
0.667,-43.28563754,-61.9875307
0.683,-43.66166224,-61.69225072
0.700,-43.32302147,-61.34409509
0.717,-43.74815137,-60.98285027
0.733,-43.37154908,-60.49139571
0.750,-43.36756757,-60.04339681
0.767,-43.93819758,-60.00140029
0.783,-43.80715016,-59.89023118
0.800,-43.44738943,-59.47423219
0.817,-43.86956833,-59.1238748
0.833,-43.77820341,-58.74105821
0.850,-43.55353832,-58.35947157
0.867,-43.9666804,-57.94973229
0.883,-43.93380086,-57.30291307
0.900,-44.0088187,-56.91598646
0.917,-43.91622537,-56.60089286
0.933,-44.10615258,-55.78969442
0.950,-44.66422414,-55.26493227
0.967,-44.66047131,-54.5664959
0.983,-44.7870086,-54.11575553
1.000,-44.58586957,-53.87777892
1.017,-44.69441882,-53.3570572
1.033,-44.96680152,-52.68491909
1.050,-44.7661855,-52.10632678
1.067,-44.53798097,-51.73982296
1.083,-44.76935269,-51.25514465
1.100,-44.82352669,-50.5350154
1.117,-45.222016,-49.77585111
1.133,-44.80635246,-49.00911885
1.150,-44.73995499,-48.5578662
1.167,-45.05451888,-48.04180858
1.183,-44.45654859,-47.18695896
1.200,-44.79914761,-46.59519702
1.217,-44.79890548,-46.36976268
1.233,-44.8946414,-45.88518083
1.250,-45.11915372,-44.98402494
1.267,-44.97575696,-44.40012275
1.283,-44.95841858,-43.87650368
1.300,-45.03639886,-43.7540885
1.317,-44.65380257,-43.03424357
1.333,-44.89740392,-42.82542927
1.350,-44.25468941,-42.3974389
1.367,-44.38223684,-42.19346695
1.383,-44.29609247,-41.79936579
1.400,-44.10010719,-41.35931503
1.417,-43.73680669,-40.8680261
1.433,-43.55582925,-40.6374694
1.450,-43.58941602,-40.09645842
1.467,-43.11669217,-39.91825275
1.483,-42.8913485,-39.04627335
1.500,-42.75771969,-38.8374288
1.517,-42.55027372,-38.37463504
1.533,-42.16829268,-37.88945122
