"type","name","time_units","begin_time","frequency","count","units"
"signal_2d","CdP (Centre des Pressions)","s",0.000,60,1206,"mm"

"time","x","y"
0.000,-4.097911765,31.20461765
0.017,-4.595318608,30.95462275
0.033,-4.423180751,31.04184272
0.050,-4.669897959,31.05282575
0.067,-4.098239437,31.02857981
0.083,-4.908326803,31.26982759
0.100,-5.565869906,31.22997649
0.117,-5.134149687,31.46244122
0.133,-5.499171863,31.32050857
0.150,-5.931176815,31.60758197
0.167,-5.760351563,31.33101562
0.183,-6.1407277,31.40657277
0.200,-5.948478005,31.56654556
0.217,-6.203487461,31.74804075
0.233,-6.473031496,31.69783465
0.250,-6.246830986,31.52593897
0.267,-6.720748233,31.60649057
0.283,-7.1154274,31.71343677
0.300,-6.892558594,31.55613281
0.317,-6.490852941,31.39738235
0.333,-6.782665094,31.08832547
0.350,-6.889268868,31.075
0.367,-6.756014151,31.29487028
0.383,-6.827821317,31.0440047
0.400,-6.844679386,30.9627557
0.417,-7.299950903,30.92076787
0.433,-7.197445184,30.87700666
0.450,-6.745408163,30.70690738
0.467,-7.219690439,30.66541928
0.483,-6.851347364,30.55600905
0.500,-7.078058615,30.40264555
0.517,-6.485969388,30.24790031
0.533,-6.782665094,30.28213443
0.550,-6.98019685,30.28311024
0.567,-6.61023265,30.23061909
0.583,-6.626515748,30.0628937
0.600,-6.957787855,30.07020899
0.617,-6.911359166,29.71584382
0.633,-6.662735849,30.10224057
0.650,-6.590181388,29.75607256
0.667,-6.759264009,29.88992699
0.683,-7.231422109,30.06924666
0.700,-6.583497634,29.44861987
0.717,-6.991709084,29.84832616
0.733,-7.046929134,29.81598425
0.750,-6.546437008,29.6625
0.767,-7.069162736,29.39599057
0.783,-6.638971743,29.46293171
0.800,-7.009072104,29.12154255
0.817,-7.462264151,28.98290094
0.833,-7.435613208,28.84964623
0.850,-7.463854003,28.69126766
0.867,-7.497115385,28.55156986
0.883,-7.409781324,28.45369385
0.900,-8.002688383,28.46509027
0.917,-7.234185083,28.29793804
0.933,-7.648737275,28.30862373
0.950,-7.590247253,27.96616954
0.967,-7.612795741,28.14528785
0.983,-7.396544636,27.31976312
1.000,-6.923239437,27.06960094
1.017,-7.96196934,26.77753538
1.033,-7.385168998,26.69262821
1.050,-6.974356474,26.47611154
1.067,-7.109029412,25.71414706
1.083,-7.029264706,25.18902941
1.100,-7.040464119,24.57221139
1.117,-6.38441165,23.75849296
1.133,-6.834463166,23.43244514
1.150,-6.958769531,22.74345703
1.167,-7.139625585,22.33116225
1.183,-7.137363601,21.69613211
1.200,-6.802476599,20.56608814
1.217,-6.381137431,20.24509593
1.233,-6.711032864,19.81478873
1.250,-6.419248826,19.23122066
1.267,-6.389355469,18.99591797
1.283,-6.08683281,18.69954867
1.300,-5.774763407,17.83225552
1.317,-6.136379717,17.94274764
1.333,-6.809911765,17.03973529
1.350,-7.719373527,16.7868912
1.367,-7.290358262,16.8404953
1.383,-7.56649061,16.55211268
1.400,-7.81820417,16.01981707
1.417,-7.79474354,16.16355717
1.433,-7.854389764,15.96903543
1.450,-8.134665354,15.61535433
1.467,-8.855374016,15.66206693
1.483,-8.704683818,15.68174588
1.500,-9.211091549,15.97517606
1.517,-9.651898112,15.96647325
1.533,-9.818434543,16.16800079
1.550,-9.898613297,16.45990362
1.567,-10.17667323,16.4561811
1.583,-10.50767578,16.53949219
1.600,-10.27685004,16.58830266
1.617,-10.72617188,16.99634766
1.633,-10.75468872,16.60157596
1.650,-10.54231597,16.88031519
1.667,-10.55896208,17.08583855
1.683,-10.34321652,17.11923453
1.700,-11.09568999,17.24486904
1.717,-11.04788581,17.29018901
1.733,-11.26474259,17.72345944
1.750,-9.989822835,17.22360236
1.767,-10.53720565,17.26930926
1.783,-10.655139,17.22542091
1.800,-10.29580078,17.30753906
1.817,-9.869788401,17.22231583
1.833,-10.19648438,17.49292969
1.850,-9.730678264,17.08583855
1.867,-9.326475762,17.19185887
1.883,-9.142687207,16.98305382
1.900,-9.152468652,17.14261364
1.917,-9.436561033,17.0693662
1.933,-8.975855365,16.83796656
1.950,-8.752219626,17.12161215
1.967,-8.71921729,16.86419393
1.983,-8.180130962,16.85391908
2.000,-8.097597656,16.87716797
2.017,-8.044628906,16.97648437
2.033,-7.749901884,16.88347724
2.050,-7.518998829,16.99961944
2.067,-7.917957746,17.32799296
2.083,-7.546596244,17.28157277
2.100,-7.213048589,17.20903213
