,radar_mean_value,radar_std_value,platform_mean_value,platform_std_value,mean_error (%),std_error (%)
mean_value_ML,-1.0027303329345705e-17,1.4884006836942747e-16,6.939632821061722e-17,3.42192774692362e-16,1.362526179686331e-08,1.531525931652879e-08
mean_value_AP,2.342378057735157e-17,1.753591686518981e-16,3.998065205456156e-17,4.446308834156038e-16,2.7287815238981935e-08,2.218686287337248e-08
mean_distance_ML,2.069931524785593,0.5199669346015484,2.038193887581239,0.3507323132381719,11.86464332002697,1.326714770800311
mean_distance_AP,2.1903952518763394,0.2918581107075388,2.1014169156369196,0.3063010804159808,13.854061287480308,9.681915695436713
mean_distance_Radius,3.3679709767085795,0.3336616638947733,3.2379620861603216,0.46310714648825574,4.614520519212252,6.686780895576695
maximal_distance_ML,4.726146323624501,1.1767081451300858,4.51293328513578,0.5162631173753616,10.417642835191181,11.303770652251147
maximal_distance_AP,4.702552564800732,0.26352775660922245,4.822700066682335,0.31752207741634986,7.25150626701018,7.135649903497986
maximal_distance_Radius,5.364418439772056,0.7477690634554498,5.223706785132842,0.6232393186043329,12.742514711614085,11.093817453365672
rms_ML,2.4535620848866855,0.6493009373426972,2.3440121468108743,0.3925750687640859,12.495440862574359,4.680384734848166
rms_AP,2.5474100277474863,0.27663586816512536,2.430324944404278,0.3314443527174868,13.418598507308868,8.363570163127259
rms_Radius,3.5723060073234203,0.4024655297788648,3.3838965308003908,0.44436389937414206,5.8282314487029865,4.583081809713601
range_ML,9.237480033453757,2.313737555620157,8.453840858445227,1.0878868287935748,12.57286713102685,7.782828773333801
range_AP,9.078759596807718,0.3553183773620796,8.82666747537145,0.586799535767368,7.73124337212304,3.991784738967619
range_ML_AND_AP,10.248185586213575,1.3321301170186701,9.562642300073584,0.5697152353045866,9.661519226877928,9.247020900178319
range_ratio_ML_AND_AP,1.021338784739528,0.26670758536031963,0.9565979580969401,0.08938715874154216,16.304020730811665,10.614236096737939
planar_deviation_ML_AND_AP,3.5723060073234203,0.4024655297788648,3.3838965308003903,0.4443638993741417,5.828231448702992,4.583081809713584
coefficient_sway_direction_ML_AND_AP,0.27993949831439124,0.0708077747477304,-0.02121221672230576,0.2079897681110421,281.962370866951,193.4452576008757
confidence_ellipse_area_ML_AND_AP,114.31771346684559,31.61125020848899,108.63478057760926,30.893556509598383,5.385267059189376,1.9214503844209099
principal_sway_direction_ML_AND_AP,44.07721004309712,22.233700535693217,32.211076573458264,22.206643598908492,90.69899751440583,79.23275042125915
mean_velocity_ML,3.314398859204071,0.6149383704496373,3.556189158198856,0.39507341328652157,8.426618856795077,6.287599618646826
mean_velocity_AP,3.579273103250415,0.49966365764451137,4.051969000582158,0.5017387386699649,11.54109039554421,8.181626145215093
mean_velocity_ML_AND_AP,5.1504500678334555,0.5242032575492,5.944831133155143,0.4979340459410487,13.346935579452248,5.527684414478624
sway_area_per_second_ML_AND_AP,6.823576943567893,1.7713781945112106,8.681820740490918,2.4255572657500646,21.135534934350243,3.6402739059011275
phase_plane_parameter_ML,4.46449950940853,0.8521959041918217,4.810774368371491,0.4772330666261583,8.246435195387154,8.285529699828215
phase_plane_parameter_AP,5.215457038284873,1.4267882126339928,5.52147315710284,0.6165839082056646,21.157406817796836,10.462031612699134
LFS_ML_AND_AP,0.46046925851156556,0.09402697056818718,0.5752851219722707,0.10880449305322028,20.015448879978372,3.8442319773499873
fractal_dimension_ML_AND_AP,1.3562856904240983,0.03133424281275021,1.4226039900810488,0.023793133694734646,4.6639951833933235,1.3054864031900488
zero_crossing_SPD_ML,5.5,1.0,12.75,2.9860788111948193,55.14705445213415,12.339576561601582
peak_velocity_pos_SPD_ML,6.364731303653153,2.367039463222855,4.3471871631256,0.7885239387414553,60.2785947536592,59.20600313635286
peak_velocity_neg_SPD_ML,5.704145612228669,1.385193375863855,4.707728245683948,0.1887932636597899,28.40467671353077,27.573559207911345
peak_velocity_all_SPD_ML,6.034438457940912,0.9041028924902145,4.52095009991774,0.4567983220709649,37.785800892956324,25.408986723223823
zero_crossing_SPD_AP,6.5,3.0,9.5,4.203173404306164,25.29761670564083,28.627175650361707
peak_velocity_pos_SPD_AP,8.775020539873479,7.129881450646869,6.45314701684654,2.1657129894405296,86.05151229595901,112.07684303203835
peak_velocity_neg_SPD_AP,7.674954101959674,1.4621061020897637,7.446841090071682,2.861940504570427,29.209786663855866,19.369328988549928
peak_velocity_all_SPD_AP,8.224987320916576,4.283690129923742,6.954430890022638,2.287231713797211,46.230980024819786,61.239946238160556
