,radar_mean_value,radar_std_value,platform_mean_value,platform_std_value,mean_error (%),std_error (%)
mean_value_ML,-7.071773899814106e-16,2.844737462063388e-15,6.457739464868316e-17,4.84447489889564e-16,2.424065962701024e-07,2.122639719227219e-07
mean_value_AP,-8.625745051946891e-15,1.8188968659477132e-14,6.829461699581e-17,2.5545659728587375e-16,1.1638853087694543e-06,1.6099792004945541e-06
mean_distance_ML,14.282215135551926,6.5209590892136315,0.47144397598082394,0.17999440131399808,3882.8294336381655,4076.9601783798785
mean_distance_AP,62.96581719334302,44.19985267930673,0.6807451869218658,0.42805261653216425,12572.333813585994,11923.012051321306
mean_distance_Radius,68.45146230676217,40.386120503171504,0.9106557411591673,0.430304501171224,8947.517575811087,6845.384113944598
maximal_distance_ML,37.85086809053733,18.578412538586548,1.5592650473035035,0.7763501604179908,3184.624840144467,3442.0760396215283
maximal_distance_AP,168.53321577808728,115.4757935648728,2.343348081298879,1.7304532507868111,10721.330235461617,9644.905741226334
maximal_distance_Radius,173.08977369964987,109.64117853693318,2.5693879791611542,1.7467269127438398,9449.192244636468,7950.431723379396
rms_ML,16.975875048101283,7.784272104991048,0.5731011100460958,0.2104503941467304,3768.5581996823175,4029.714415354652
rms_AP,74.85548998698305,52.486874998380614,0.8477989102206279,0.5728235254113094,11939.424568879034,10810.161430417225
rms_Radius,79.49329948927468,48.1303473113047,1.049085446068257,0.5569096526745838,9197.44572815845,7170.055707576494
range_ML,67.72982395187348,30.429696324080094,2.6897126478472453,1.0418163301436885,3002.6199352001954,2830.420887952736
range_AP,283.6579566013282,191.45458405305294,4.055323505921041,3.01297259764113,9682.066616364258,7953.478295757173
range_ML_AND_AP,293.4964557231523,178.00780186832526,4.456724859631494,2.8780220666728855,8556.25997358616,6612.903618487592
range_ratio_ML_AND_AP,0.7332684232247352,1.2570291062848813,0.7792205884778981,0.2651516131580509,105.07246340281053,119.96009370528327
planar_deviation_ML_AND_AP,79.49329948927468,48.1303473113047,1.049085446068257,0.5569096526745838,9197.445728158447,7170.055707576494
coefficient_sway_direction_ML_AND_AP,-0.11933206128067643,0.4745029336025359,0.09789658597258517,0.2887376994300926,317.59696519923426,305.64240490014845
confidence_ellipse_area_ML_AND_AP,20288.953309469765,16708.926301193856,9.704057661222407,8.969188830009601,452066.7130291195,632281.9520460623
principal_sway_direction_ML_AND_AP,19.424379188636152,30.72569645857741,36.51554286523208,33.286208428077884,117.84292759662041,71.82606420998
mean_velocity_ML,13.976753569082845,7.438465162279492,0.8010686124476943,0.24874530067460493,1867.573995325661,1533.1371217968954
mean_velocity_AP,38.018293769441264,27.866069792711404,1.0036456464963504,0.6500997304495097,4838.141921608004,4011.9422934281756
mean_velocity_ML_AND_AP,44.38633470740172,27.002170456807615,1.4199752319732075,0.6965736612386246,3609.816406262735,2622.724255073498
sway_area_per_second_ML_AND_AP,602.5548980994985,517.0972285012303,0.43638125264436295,0.36621168645553737,249325.76280799494,310012.2426515996
phase_plane_parameter_ML,27.045222657170076,9.126316528606768,1.2840555177077262,0.5093175718713375,2350.2264078758876,1659.292939329198
phase_plane_parameter_AP,90.66409763498417,59.34474677887167,1.643873321032811,1.2243182099945642,7469.552836432604,5897.185175439168
LFS_ML_AND_AP,0.08899865081202955,0.041657692735419034,5.970944428207905,2.713222072767154,98.12782259725074,1.284992094329883
fractal_dimension_ML_AND_AP,1.473286986390746,0.06950105267191163,1.6327776663743638,0.06505773919632211,9.848556288711018,5.756782516966692
zero_crossing_SPD_ML,50.285714285714285,22.2764022058791,128.42857142857142,23.279870724563335,59.9819755883563,17.303578011271167
peak_velocity_pos_SPD_ML,25.51122729864466,8.972226583267672,0.9548770617707297,0.2906909084972381,2675.322906759368,1105.5959268777956
